@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,508,0,410,0,1,1,0.553377,1,0.446623,0.712482,1,1,0
1,508,0,365,45,0.890244,1,0.581901,1,0.418099,0.735699,0.95098,1.051546,0.01
2,508,0,335,75,0.817073,1,0.60261,1,0.39739,0.752036,0.918301,1.088968,0.014
3,508,0,334,76,0.814634,1,0.603325,1,0.396675,0.752593,0.917211,1.090261,0.016667
4,508,0,333,77,0.812195,1,0.604043,1,0.395957,0.75315,0.916122,1.091558,0.02
5,506,2,317,93,0.773171,0.996063,0.614824,0.996063,0.385176,0.760331,0.896514,1.11104,0.021111
6,506,2,316,94,0.770732,0.996063,0.615572,0.996063,0.384428,0.760902,0.895425,1.112392,0.023536
7,506,2,315,95,0.768293,0.996063,0.616322,0.996063,0.383678,0.761475,0.894336,1.113746,0.03
8,506,2,298,112,0.726829,0.996063,0.629353,0.996063,0.370647,0.771341,0.875817,1.137296,0.031429
9,506,2,297,113,0.72439,0.996063,0.630137,0.996063,0.369863,0.77193,0.874728,1.138712,0.033333
10,506,2,296,114,0.721951,0.996063,0.630923,0.996063,0.369077,0.772519,0.873638,1.140132,0.04
11,505,3,280,130,0.682927,0.994094,0.643312,0.994094,0.356688,0.781129,0.85512,1.162521,0.045
12,505,3,279,131,0.680488,0.994094,0.644133,0.994094,0.355867,0.781734,0.854031,1.164003,0.05
13,505,3,266,144,0.64878,0.994094,0.654994,0.994094,0.345006,0.789679,0.839869,1.18363,0.051667
14,505,3,265,145,0.646341,0.994094,0.655844,0.994094,0.344156,0.790297,0.83878,1.185167,0.06
15,505,3,254,156,0.619512,0.994094,0.665349,0.994094,0.334651,0.797159,0.826797,1.202344,0.07
16,504,4,241,169,0.587805,0.992126,0.67651,0.992126,0.32349,0.804469,0.811547,1.222512,0.078485
17,504,4,240,170,0.585366,0.992126,0.677419,0.992126,0.322581,0.805112,0.810458,1.224155,0.08
18,504,4,228,182,0.556098,0.992126,0.688525,0.992126,0.311475,0.812903,0.797386,1.244224,0.09
19,504,4,222,188,0.541463,0.992126,0.694215,0.992126,0.305785,0.816856,0.79085,1.254506,0.090556
20,504,4,221,189,0.539024,0.992126,0.695172,0.992126,0.304828,0.817518,0.78976,1.256237,0.091
21,504,4,220,190,0.536585,0.992126,0.696133,0.992126,0.303867,0.818182,0.788671,1.257972,0.095
22,504,4,219,191,0.534146,0.992126,0.697095,0.992126,0.302905,0.818846,0.787582,1.259712,0.096667
23,503,5,219,191,0.534146,0.990157,0.696676,0.990157,0.303324,0.817886,0.786492,1.258954,0.1
24,502,6,216,194,0.526829,0.988189,0.699164,0.988189,0.300836,0.818923,0.782135,1.263451,0.103014
25,501,7,216,194,0.526829,0.98622,0.698745,0.98622,0.301255,0.817959,0.781046,1.262692,0.11
26,501,7,211,199,0.514634,0.98622,0.703652,0.98622,0.296348,0.821311,0.775599,1.27156,0.11125
27,501,7,210,200,0.512195,0.98622,0.704641,0.98622,0.295359,0.821985,0.77451,1.273348,0.114603
28,501,7,209,201,0.509756,0.98622,0.705634,0.98622,0.294366,0.82266,0.77342,1.275141,0.12
29,501,7,206,204,0.502439,0.98622,0.708628,0.98622,0.291372,0.824691,0.770153,1.280552,0.120763
30,500,8,206,204,0.502439,0.984252,0.708215,0.984252,0.291785,0.823723,0.769063,1.279806,0.13
31,500,8,203,207,0.495122,0.984252,0.711238,0.984252,0.288762,0.825764,0.765795,1.285268,0.137879
32,500,8,202,208,0.492683,0.984252,0.712251,0.984252,0.287749,0.826446,0.764706,1.287099,0.14
33,498,10,195,215,0.47561,0.980315,0.718615,0.980315,0.281385,0.829309,0.754902,1.298599,0.143333
34,498,10,194,216,0.473171,0.980315,0.719653,0.980315,0.280347,0.83,0.753813,1.300476,0.15
35,497,11,191,219,0.465854,0.978346,0.722384,0.978346,0.277616,0.831104,0.749455,1.30541,0.154167
36,497,11,190,220,0.463415,0.978346,0.723435,0.978346,0.276565,0.831799,0.748366,1.30731,0.16
