@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,410,0,508,0,1,1,0.446623,1,0.553377,0.61747,1,1,0
1,407,3,463,45,0.911417,0.992683,0.467816,0.992683,0.532184,0.635937,0.947712,1.047452,0.001
2,407,3,462,46,0.909449,0.992683,0.468354,0.992683,0.531646,0.636435,0.946623,1.048657,0.01
3,405,5,419,89,0.824803,0.987805,0.491505,0.987805,0.508495,0.656402,0.897603,1.100491,0.011667
4,405,5,418,90,0.822835,0.987805,0.492102,0.987805,0.507898,0.656934,0.896514,1.101829,0.014893
5,405,5,417,91,0.820866,0.987805,0.492701,0.987805,0.507299,0.657468,0.895425,1.103169,0.016667
6,404,6,417,91,0.820866,0.985366,0.492083,0.985366,0.507917,0.656377,0.894336,1.101785,0.02
7,402,8,375,133,0.738189,0.980488,0.517375,0.980488,0.482625,0.677338,0.846405,1.158414,0.03
8,399,11,344,164,0.677165,0.973171,0.537012,0.973171,0.462988,0.692108,0.809368,1.202383,0.030833
9,399,11,343,165,0.675197,0.973171,0.537736,0.973171,0.462264,0.692708,0.808279,1.204004,0.034444
10,399,11,342,166,0.673228,0.973171,0.538462,0.973171,0.461538,0.69331,0.80719,1.205629,0.035
11,399,11,341,167,0.67126,0.973171,0.539189,0.973171,0.460811,0.693913,0.8061,1.207258,0.04
12,396,14,306,202,0.602362,0.965854,0.564103,0.965854,0.435897,0.71223,0.764706,1.263039,0.044444
13,396,14,305,203,0.600394,0.965854,0.564907,0.965854,0.435093,0.712871,0.763617,1.264841,0.046125
14,396,14,304,204,0.598425,0.965854,0.565714,0.965854,0.434286,0.713514,0.762527,1.266648,0.05
15,396,14,286,222,0.562992,0.965854,0.580645,0.965854,0.419355,0.725275,0.742919,1.300079,0.051429
16,396,14,285,223,0.561024,0.965854,0.581498,0.965854,0.418502,0.72594,0.74183,1.301988,0.051667
17,395,15,285,223,0.561024,0.963415,0.580882,0.963415,0.419118,0.724771,0.740741,1.30061,0.0525
